device=mps parameters=4,951,808 train_tokens=5,023,968
step=1 loss=5.6085 tokens_per_sec=4266
step=50 loss=2.6228 tokens_per_sec=22111
step=100 loss=2.4596 tokens_per_sec=23089
step=150 loss=2.3658 tokens_per_sec=23426
step=200 loss=2.3332 tokens_per_sec=23586
step=250 loss=2.3183 tokens_per_sec=23462
step=300 loss=2.1947 tokens_per_sec=23301
step=350 loss=2.1371 tokens_per_sec=23321
step=400 loss=2.1222 tokens_per_sec=23360
step=450 loss=2.0465 tokens_per_sec=23413
step=500 loss=1.9970 tokens_per_sec=23368
checkpoint=checkpoints/veda-10m/veda.pt validation_loss=1.9523 perplexity=7.04
step=550 loss=1.8693 tokens_per_sec=23329
step=600 loss=1.8783 tokens_per_sec=23370
step=650 loss=1.7462 tokens_per_sec=23376
step=700 loss=1.7298 tokens_per_sec=23396
step=750 loss=1.5587 tokens_per_sec=23403
step=800 loss=1.5295 tokens_per_sec=23424
step=850 loss=1.2908 tokens_per_sec=23444
step=900 loss=1.4342 tokens_per_sec=23464
step=950 loss=1.4510 tokens_per_sec=23340
step=1000 loss=1.3994 tokens_per_sec=23246
checkpoint=checkpoints/veda-10m/veda.pt validation_loss=1.2664 perplexity=3.55
step=1050 loss=1.3864 tokens_per_sec=23151
step=1100 loss=1.3531 tokens_per_sec=23069
step=1150 loss=1.1932 tokens_per_sec=22914
step=1200 loss=1.1797 tokens_per_sec=22846
step=1250 loss=1.2623 tokens_per_sec=22685
step=1300 loss=1.2049 tokens_per_sec=22595
step=1350 loss=1.2240 tokens_per_sec=22475
step=1400 loss=1.1723 tokens_per_sec=22128
step=1450 loss=1.1447 tokens_per_sec=21929
step=1500 loss=1.0718 tokens_per_sec=21753
checkpoint=checkpoints/veda-10m/veda.pt validation_loss=1.1731 perplexity=3.23
step=1550 loss=1.0984 tokens_per_sec=21574
step=1600 loss=1.0950 tokens_per_sec=21346
step=1650 loss=1.1855 tokens_per_sec=21091
step=1700 loss=1.1109 tokens_per_sec=20900
step=1750 loss=1.3301 tokens_per_sec=20744
step=1800 loss=1.1588 tokens_per_sec=20589
step=1850 loss=1.0513 tokens_per_sec=20452
step=1900 loss=1.0745 tokens_per_sec=20312
step=1950 loss=1.0756 tokens_per_sec=20164
step=2000 loss=1.0843 tokens_per_sec=20061
checkpoint=checkpoints/veda-10m/veda.pt validation_loss=1.0428 perplexity=2.84
step=2050 loss=1.1003 tokens_per_sec=19965
step=2100 loss=0.9982 tokens_per_sec=19830
step=2150 loss=1.0582 tokens_per_sec=19666
step=2200 loss=1.0151 tokens_per_sec=19378
step=2250 loss=1.0386 tokens_per_sec=19271
step=2300 loss=1.0580 tokens_per_sec=19216
step=2350 loss=0.9511 tokens_per_sec=19167
step=2400 loss=0.9273 tokens_per_sec=19002
step=2450 loss=0.9850 tokens_per_sec=18933
step=2500 loss=1.0716 tokens_per_sec=18893
checkpoint=checkpoints/veda-10m/veda.pt validation_loss=0.9739 perplexity=2.65
step=2550 loss=1.0527 tokens_per_sec=18833
step=2600 loss=1.0131 tokens_per_sec=18806
step=2650 loss=0.9301 tokens_per_sec=18734
step=2700 loss=0.9902 tokens_per_sec=18694
step=2750 loss=0.9241 tokens_per_sec=18636
step=2800 loss=1.0392 tokens_per_sec=18597
step=2850 loss=0.8740 tokens_per_sec=18559
step=2900 loss=0.9822 tokens_per_sec=18519
step=2950 loss=0.9961 tokens_per_sec=18450
step=3000 loss=0.9614 tokens_per_sec=18405
checkpoint=checkpoints/veda-10m/veda.pt validation_loss=0.9031 perplexity=2.47
step=3050 loss=1.0228 tokens_per_sec=18372
step=3100 loss=0.9598 tokens_per_sec=18339
step=3150 loss=0.9375 tokens_per_sec=18256
step=3200 loss=0.9641 tokens_per_sec=18207
step=3250 loss=1.0422 tokens_per_sec=18156
step=3300 loss=1.0496 tokens_per_sec=18102
step=3350 loss=0.9142 tokens_per_sec=18063
step=3400 loss=0.9425 tokens_per_sec=18023
step=3450 loss=1.0062 tokens_per_sec=17967
step=3500 loss=0.9015 tokens_per_sec=17904
checkpoint=checkpoints/veda-10m/veda.pt validation_loss=0.9743 perplexity=2.65
step=3550 loss=0.8641 tokens_per_sec=17843
step=3600 loss=0.8870 tokens_per_sec=17820
step=3650 loss=0.9616 tokens_per_sec=17806
step=3700 loss=0.9231 tokens_per_sec=17792
step=3750 loss=0.9498 tokens_per_sec=17783
step=3800 loss=1.0064 tokens_per_sec=17735
step=3850 loss=0.9903 tokens_per_sec=17714
step=3900 loss=0.9075 tokens_per_sec=17691
step=3950 loss=0.9081 tokens_per_sec=17668
step=4000 loss=0.8915 tokens_per_sec=17633
checkpoint=checkpoints/veda-10m/veda.pt validation_loss=0.9045 perplexity=2.47
step=4050 loss=0.8800 tokens_per_sec=17612
step=4100 loss=0.9360 tokens_per_sec=17604
step=4150 loss=0.8680 tokens_per_sec=17584
step=4200 loss=0.8967 tokens_per_sec=17577
step=4250 loss=0.7483 tokens_per_sec=17571
step=4300 loss=0.8727 tokens_per_sec=17564
step=4350 loss=0.9429 tokens_per_sec=17553
step=4400 loss=0.8984 tokens_per_sec=17544
step=4450 loss=0.7861 tokens_per_sec=17530
step=4500 loss=0.9211 tokens_per_sec=17498
checkpoint=checkpoints/veda-10m/veda.pt validation_loss=0.8738 perplexity=2.40
step=4550 loss=0.8924 tokens_per_sec=17478
step=4600 loss=0.8986 tokens_per_sec=17472
step=4650 loss=0.9003 tokens_per_sec=17458
step=4700 loss=0.9810 tokens_per_sec=17439
step=4750 loss=0.9224 tokens_per_sec=17421
step=4800 loss=0.9305 tokens_per_sec=17402
step=4850 loss=0.9707 tokens_per_sec=17385
step=4900 loss=0.8646 tokens_per_sec=17369
step=4950 loss=0.8408 tokens_per_sec=17357
step=5000 loss=0.8901 tokens_per_sec=17341
checkpoint=checkpoints/veda-10m/veda.pt validation_loss=0.9229 perplexity=2.52
